Genus	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Lactobacillus	9.870347	9.935056	10.67587	10.155745	7.676915	10.682863	13.995877	11.232738	7.331787
Pediococcus	2.904958	2.759384	2.815264	2.576215	1.438348	2.514308	3.205841	3.185124	1.724641
Streptococcus	9.484433	9.32352	9.23143	8.670965	8.270538	6.486641	4.230965	7.947207	5.609512
Lactococcus	0.030438	0.025605	0.037997	0.018796	0.065563	0.00876	0.009611	0.012344	0
Enterococcus	8.572086	8.667753	8.41288	8.249656	7.558168	6.315115	10.548829	7.390874	7.5965
Tetragenococcus	0.007096	0.008292	0.012846	0.00595	0.02622	0.004025	8e-04	0.006211	0
Vagococcus	0.003324	0.008547	0.007186	0.001144	0.000113	0.00115	0.000138	0.001929	0
Melissococcus	0.000679	0.002041	0.002395	0.000381	0.015988	0.000303	0.00011	0.001339	0
Leuconostoc	0.036443	0.033751	0.055487	0.041635	0.066991	0.026961	0.033534	0.021204	0.027062
Weissella	0.020393	0.01817	0.022132	0.016004	0.026739	0.008957	0.003599	0.000384	0.003791
Oenococcus	0.000483	0.001112	0.000574	0.000214	0.00515	0.002935	0.000248	5.9e-05	0
Aerococcus	0.027685	0.023145	0.037341	0.014417	0.03311	0.004282	0.006219	0.006339	0
Carnobacterium	0.005398	0.012283	0.011107	0.00357	0.024878	0.01861	0.013127	0.00754	0
Jeotgalibaca	0.000643	0.00277	0.002592	0.00357	0	0.000878	1.4e-05	0.000266	0
Marinilactibacillus	0.000626	0.001039	0.000427	0.000549	0	0.000348	0.000455	0	0
Exiguobacterium	2.740454	2.356171	2.958197	3.749518	1.916452	5.13746	1.267599	3.161469	4.903043
Gemella	0.002484	0.003098	0.005627	0.001266	0.004588	0.004433	0.003296	0	0.002008
Staphylococcus	0.621338	0.600146	0.712187	0.713318	0.69298	0.542205	0.587704	0.746299	0.565448
Macrococcus	0.000876	0.002114	0.003741	0.000336	0.003073	0.000378	0.001076	0.000187	0
Auricoccucs	5.4e-05	0	0	0	0	0	0	0	0
Jeotgalicoccus	3.6e-05	0	0	0	9e-06	0.000136	1.4e-05	0	0
Bacillus	0.24781	0.287088	0.292855	0.275929	0.412698	0.277752	0.050315	0.251598	0.183144
Virgibacillus	0.001251	0.003135	0.004348	0.000915	0.002805	0.002315	0.000758	5.9e-05	0
Lysinibacillus	0.001233	0.012958	0.004807	0.001678	0.027259	0.005901	0.003364	0.000177	0
Geobacillus	0.00109	0.003973	0.003577	0.000397	0.014499	0.002088	0.000827	0.000473	0
Amphibacillus	0.000572	0.000565	0.001969	0.000656	0.004319	0.001725	0.000152	0.00065	0
Terribacillus	0.000536	0.001513	0.000623	1.5e-05	0.00219	0.00121	0.000262	4.9e-05	0
Anoxybacillus	0.000286	0.00328	0.004463	0.000198	0.012976	0.002239	0.002096	0.000295	0
Salimicrobium	0.000286	0.000255	0.00105	4.6e-05	0.001255	9.1e-05	0.000207	0	0
Aeribacillus	0.000232	0.000346	0.000689	0.000168	0.00013	0	1.4e-05	7.9e-05	0
Lentibacillus	0.000197	0.000492	0.000902	3.1e-05	0.001446	0.001256	2.8e-05	0	0
Oceanobacillus	5.4e-05	0.002333	0.002313	0.000442	0.003454	0.009744	0.000317	9.8e-05	0
Listeria	0.012815	0.013249	0.020032	0.010756	0.106412	0.019744	0.014961	0.00945	0.00406
