Species	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Enterococcus faecium	27.179823	27.575931	25.437501	25.547416	17.883827	6.487915	20.107692	34.308051	13.901163
Lactobacillus paracasei	0.20776	0.112386	0.15175	0.362372	0.898913	0.106299	0.10481	0.110321	0.395287
Lactobacillus ruminis	0.114225	0.077835	0.089556	0.088686	0.100569	0.098153	0.075951	0.144943	0.08688
Lactobacillus rhamnosus	0.0984	0.093352	0.088468	0.090401	0.226984	0.06637	0.043481	0.120829	0.049529
Pediococcus acidilactici	3.79578	3.587212	3.509976	3.491526	1.934783	7.5903	3.53491	4.921676	3.563556
Streptococcus anginosus	0.051824	0.048368	0.047432	0.04537	0.073115	0.004574	0.005473	0.053776	0.049615
Leuconostoc mesenteroides	0.14418	0.105219	0.137136	0.130065	0.189117	0.195271	0.107972	0.05951	0.063812
Bifidobacterium longum	0.456002	0.402461	0.407907	0.392294	0.493562	0.185856	0.34462	0.463968	0.114093
Bifidobacterium bifidum	0.17905	0.161504	0.184553	0.176411	0.267486	0.094681	0.096399	0.195459	0.102924
Bifidobacterium breve	0.073028	0.075652	0.106141	0.102065	0.115674	0.060294	0.0508	0.099049	0.06306
Bacteroides caccae	1.020748	0.973659	0.929896	0.926109	0.003439	0.256667	0.198191	1.298884	0.043816
Bacteroides ovatus	0.129684	0.115403	0.153985	0.15054	0.344619	0.053483	0.027928	0.000589	4.3e-05
Bacteroides fragilis	0.060923	0.077452	0.117095	0.129089	0.180285	0.045738	0.077042	0.169907	2.1e-05
Citrobacter freundii	0.070056	0.01665	0.03142	0.028325	0.086198	0.002871	0.003467	0.034241	0.000236
