Species	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Lactobacillus paracasei	0.255228	0.225348	0.22748	1.693813	2.246894	0.20387	0.629158	0.107183	1.787432
Lactobacillus rhamnosus	1.700768	1.391051	1.145619	1.161479	1.944004	0.304713	0.624813	1.734066	1.371415
Lactobacillus ruminis	0.623615	0.420456	0.393887	0.398524	0.323715	0.289794	0.42772	0.650207	0.455041
Pediococcus acidilactici	3.807364	3.079683	2.594148	2.57401	1.389718	4.871949	3.327853	3.966642	2.404395
Enterococcus faecium	3.501755	2.95955	2.468442	2.480607	1.869749	0.518946	2.609003	3.554586	1.246979
Streptococcus anginosus	0.234325	0.172635	0.151719	0.144503	0.195817	0.017634	0.026247	0.187693	0.15023
Leuconostoc mesenteroides	0.042689	0.028686	0.029044	0.028307	0.056224	0.083115	0.040753	0.005125	0.025615
Bifidobacterium bifidum	11.488127	8.568491	7.872306	7.722923	13.361154	3.671354	6.46208	11.502849	6.76149
Bifidobacterium longum	0.690669	0.500801	0.481712	0.451715	0.60683	0.177091	0.493622	0.535962	0.136218
Bifidobacterium breve	0.068818	0.079117	0.098502	0.115439	0.247251	0.058739	0.144709	0.056581	0.057633
Citrobacter freundii	0.039295	0.009147	0.014115	0.012147	0.040231	0.001904	0.003292	0.014798	2.2e-05
Bacteroides fragilis	0.767472	0.654759	0.567019	0.569486	0.730937	0.106648	0.720189	0.864296	6.7e-05
Bacteroides ovatus	0.21634	0.160382	0.189705	0.182609	0.229788	0.051717	0.028595	0.000493	2.2e-05
Bacteroides caccae	0.073026	0.060383	0.061149	0.055978	0.000206	0.017509	0.01918	0.075506	0.002432
