Genus	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Enterococcus	36.197714	36.769437	34.568282	32.947533	35.047811	9.520347	33.166849	34.100999	22.757075
Tetragenococcus	0.004524	0.005518	0.005612	0.003895	0.036217	0.002425	0.000955	0.002805	0
Vagococcus	0.001276	0.004253	0.002939	0.000788	0.00043	0.000814	0.000294	3e-04	0
Melissococcus	0.000527	0.001915	0.000516	0.000149	0.005855	0.003364	0.000404	0.000257	0
Lactobacillus	8.130771	8.328546	7.805204	7.572968	9.720813	7.567906	8.809104	7.955561	4.947113
Pediococcus	1.378898	1.335488	1.333971	1.241943	0.768269	1.273753	1.402143	1.376653	0.851684
Streptococcus	2.649875	2.562607	2.711231	2.658305	2.372381	2.531219	1.259206	1.788227	2.013805
Lactococcus	0.076965	0.052542	0.068115	0.051563	0.146638	0.015817	0.018983	0.039669	0
Leuconostoc	0.124897	0.126891	0.154146	0.17995	0.206105	0.38035	0.416894	0.088277	0.344245
Weissella	0.014917	0.014884	0.016728	0.012876	0.023647	0.007932	0.004384	0.000935	0.004721
Oenococcus	0.00034	0.000685	0.000516	7.4e-05	0.03674	0.005116	0.002413	4.3e-05	0
Aerococcus	0.009831	0.009331	0.01704	0.008787	0.019606	0.002362	0.001653	0.002745	0
Carnobacterium	0.001684	0.010684	0.004862	0.003494	0.013684	0.021731	0.019571	0.008004	0
Marinilactibacillus	0.000289	0.001564	0.001344	0.001026	0	0.000438	0.000282	0	0
Jeotgalibaca	0.00017	0.002302	0.002923	0.044828	0	0.000235	0.00011	4.3e-05	0
Bacillus	5.649982	5.6436	5.352222	5.178024	2.405215	5.00743	0.384268	5.552328	4.225507
Lysinibacillus	0.001412	0.015077	0.003518	0.002438	0.020011	0.006477	0.001249	0.001004	0
Amphibacillus	0.00085	0.000791	0.001548	0.001145	0.002792	0.001408	9.8e-05	0.000343	0
Virgibacillus	0.000578	0.002724	0.00247	0.0022	0.001687	0.003567	0.00038	7.7e-05	0
Geobacillus	0.000306	0.001529	0.001532	0.001204	0.011136	0.004678	0.001286	0.000532	0
Anoxybacillus	0.000289	0.001212	0.001188	0.0011	0.008462	0.001627	0.000686	8.6e-05	0
Terribacillus	0.000187	0.000615	0.000672	0.00055	0.001881	0.00025	0.000159	0.000163	0
Halobacillus	5.1e-05	0.000474	0.000516	5.9e-05	0.001476	0.002003	0.00022	9e-06	0
Lentibacillus	5.1e-05	0.000334	0.000672	1.5e-05	0.001578	0.000532	3.7e-05	0	0
Oceanobacillus	3.4e-05	0.001195	0.00111	0.000327	0.001957	0.002409	0.000539	1.7e-05	0
Aeribacillus	3.4e-05	0.000123	0.000375	0.000164	5.9e-05	7.8e-05	4.9e-05	0	0
Fictibacillus	1.7e-05	0.000773	0.000922	0.000104	0.004421	0.002644	0.00022	6e-05	0
Staphylococcus	0.995194	0.979927	0.943776	0.937367	0.93032	0.650214	0.663712	0.97829	0.756138
