Genus	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Enterococcus	48.995105	48.670185	45.47824	44.499075	38.656935	23.364717	35.209305	38.573415	36.073911
Tetragenococcus	0.010171	0.005137	0.013461	0.004287	0.040955	0.002467	0.002624	0.004028	0
Vagococcus	0.008539	0.028922	0.01372	0.001863	0.000277	0.000456	0.000556	0.001729	0
Melissococcus	0.000533	0.004005	0.000944	0.000222	0.010812	0.00044	0.000662	0.000468	0
Lactobacillus	15.984395	15.879227	15.36597	15.22896	16.819627	15.977477	18.451197	18.727797	10.471288
Pediococcus	4.224429	4.012872	3.930947	3.784423	2.209615	3.937541	4.190857	4.963907	2.666255
Streptococcus	3.150947	3.054247	3.001624	2.9507	3.201473	2.871316	1.749025	2.821456	2.119459
Lactococcus	0.081231	0.04872	0.064367	0.057326	0.175919	0.029384	0.030806	0.025612	0
Leuconostoc	1.2456	1.189705	1.26579	1.236453	1.734524	1.384911	1.545101	0.427058	0.873237
Weissella	0.185691	0.167577	0.189522	0.157166	0.171979	0.050378	0.026266	0.011158	0.006542
Oenococcus	0.001117	0.002264	0.003396	0.00034	0.01524	0.004698	0.001478	8.1e-05	0
Aerococcus	0.009467	0.004458	0.018669	0.022898	0.02743	0.003928	0.000839	0.004679	0
Carnobacterium	0.003745	0.02941	0.00769	0.011116	0.022658	0.103709	0.067285	0.075655	0
Marinilactibacillus	0.000928	0.003726	0.002787	0.00201	0	0.002954	0.001076	0	0
Jeotgalibaca	0.00043	0.003535	0.002634	0.009091	0	0.00121	2.4e-05	0.000132	0
Bacillus	0.67741	0.67111	0.636786	0.638656	0.593706	0.310436	0.248738	0.079327	0.424993
Virgibacillus	0.001203	0.002316	0.003548	0.000754	0.001075	0.001069	0.000177	0.000448	0
Lysinibacillus	0.000859	0.007679	0.003259	0.00133	0.019432	0.001289	0.000532	0.000142	0
Geobacillus	0.000481	0.001184	0.001142	0.001301	0.00872	0.001666	0.000627	9.2e-05	0
Terribacillus	0.000378	0.000192	0.000457	0.000237	0.001302	9.4e-05	4.7e-05	4.1e-05	0
Anoxybacillus	0.000258	0.001219	0.000807	0.000325	0.006158	0.000629	0.000366	0.000173	0
Oceanobacillus	0.000258	0.001358	0.001066	0.000192	0.001647	0.002278	0.000142	0.000112	0
Parageobacillus	0.000172	0.000192	1.5e-05	0	0.002411	9.4e-05	0	0	0
Fictibacillus	0.000155	0.000749	0.000792	3e-05	0.002915	0.001399	0.000106	5.1e-05	0
Aeribacillus	8.6e-05	0.000592	0.000168	1.5e-05	8e-06	3.1e-05	1.2e-05	1e-05	0
Amphibacillus	5.2e-05	5.2e-05	0.00032	0.000355	0.001731	0.003143	4.7e-05	2e-05	0
Halobacillus	1.7e-05	0.000192	0.000411	7.4e-05	0.001017	0.001917	7.1e-05	0	0
Lentibacillus	1.7e-05	5.2e-05	0.000213	1.5e-05	0.000672	6.3e-05	0	0	0
Exiguobacterium	0.24866	0.212223	0.279075	0.345966	0.186563	0.465372	0.099521	0.325059	0.396061
Gemella	0.00012	0.000662	0.001218	0.000222	0.001647	0.000754	0.000165	0	0.002406
Staphylococcus	0.129613	0.121034	0.12077	0.121392	0.170517	0.126274	0.102488	0.13648	0.097355
Macrococcus	0.000189	0.001114	0.001584	0.000695	0.001185	0.004635	0.000142	0.000153	0
Auricoccucs	6.9e-05	0	0	0	0	0	0	0	0
Brochothrix	0.044189	0.012607	0.047617	0.029136	8e-06	0.000456	0.004965	9.2e-05	0
Listeria	0.028039	0.017099	0.032465	0.038863	0.20502	0.055437	0.060063	0.023567	0.004398
Paenibacillus	0.004433	0.031342	0.015456	0.021272	0.060043	0.048602	0.011384	0.000519	0.001459
Thermobacillus	0.000498	3.5e-05	0.001035	0.000177	0.001546	7.9e-05	1.2e-05	2e-05	0
Brevibacillus	0.000103	0.001132	0.002604	0.000843	0.003856	0.000424	2.4e-05	1e-05	0
Aneurinibacillus	8.6e-05	0.000418	0.000198	0.000148	0.001823	0.000566	3.5e-05	0	0
Planococcus	0.000808	0.004301	0.007553	0.005056	0.010821	0.001461	4.7e-05	0.000193	0
Sporosarcina	0.000137	0.002037	0.002375	0.000606	0.001445	0.000424	7.1e-05	1e-05	0
Jeotgalibacillus	0.000137	0.000383	0.000396	0.000237	0.002462	0.00022	0.000154	5.1e-05	0
Rummeliibacillus	6.9e-05	0.000104	0.000289	5.9e-05	0.001361	3.1e-05	0	0	0
Solibacillus	5.2e-05	0.006216	0.000487	0.000177	0.002982	6.3e-05	0	4.1e-05	0
Alicyclobacillus	0.000172	0.000174	0.000259	4.4e-05	0.0021	0.000299	7.1e-05	0	0
Tumebacillus	0.000155	0.000418	0.000457	8.9e-05	0	6.3e-05	2.4e-05	0	0
Kyrpidia	1.7e-05	1.7e-05	0.000122	3e-05	0.000428	0	0	0	0
Clostridium	7.908638	7.58258	7.244584	7.440004	8.411439	11.288578	10.857519	8.857981	7.648725
Alkaliphilus	0.00213	0.002246	0.002421	0.000902	0.00557	0.000283	3.5e-05	4.1e-05	0
Geosporobacter	0.001306	0.000557	0.001645	0.000532	0.003024	0.001681	1.2e-05	0.000102	0
Candidatus Arthromitus	0.000206	0.000696	0.001934	0.000591	0.006906	0.000283	1.2e-05	0.000102	0
Ruminococcus	2.370933	2.088083	2.258596	2.243277	1.79455	5.271446	5.171576	3.680078	3.06729
Ruminiclostridium	0.001821	0.000662	0.010355	0.007066	0.004259	0.007542	0.006738	0.070376	0
Ethanoligenens	0.001443	0.00101	0.002071	0.001419	0.003142	0.000189	0	0.000681	0
Mageeibacillus	0.000481	4e-04	0.000929	0.000798	0.001252	4.7e-05	0	0	0
Blautia	0.381176	0.432577	0.832978	1.320106	0.672903	2.687735	1.804076	0.473389	4.685898
