Species	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Lactobacillus ruminis	2.181202	1.938021	2.204179	2.206526	1.023551	1.157914	1.396154	2.959877	2.790763
Lactobacillus paracasei	0.502682	0.25108	0.357815	0.832244	0.970896	0.107966	0.236764	0.19797	1.221428
Lactobacillus rhamnosus	0.536964	0.52125	0.494616	0.487554	0.844193	0.148933	0.187613	0.675621	0.270817
Pediococcus acidilactici	0.944932	0.92137	0.901023	0.886873	0.378299	1.28848	0.806561	1.216256	1.238077
Enterococcus faecium	3.251594	3.293215	3.091871	3.076048	2.041907	0.48521	2.45159	3.893855	1.312657
Streptococcus anginosus	0.073158	0.071456	0.070489	0.064972	0.071689	0.004761	0.008283	0.076543	0.087493
Leuconostoc mesenteroides	0.015974	0.010845	0.015428	0.01429	0.022312	0.011626	0.013386	0.007601	0.010821
Bifidobacterium bifidum	0.642518	0.586708	0.604165	0.580493	0.777471	0.20561	0.33166	0.784081	0.63391
Bifidobacterium breve	0.267522	0.262779	0.271539	0.255441	0.24695	0.185815	0.194427	0.289796	0.339747
Bifidobacterium longum	0.040869	0.033778	0.036358	0.034943	0.058107	0.016211	0.036105	0.035862	0.031506
Citrobacter freundii	0.432414	0.125921	0.222095	0.229117	0.413153	0.016637	0.019909	0.262815	0.002272
Bacteroides ovatus	1.884174	1.71136	2.006421	1.913162	1.824388	0.332193	0.15083	0.003597	0.00012
Bacteroides caccae	1.615809	1.58945	1.515916	1.471619	0.004183	0.289973	0.296153	2.026492	0.092514
Bacteroides fragilis	0.232002	0.267719	0.28582	0.291785	0.324311	0.057303	0.258902	0.455454	9e-05
