Genus	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Lactobacillus	16.866652	18.223646	15.874344	14.346178	15.847891	10.762657	13.358308	11.741057	7.783295
Pediococcus	0.680504	0.630119	0.56454	0.483118	0.283213	0.364914	0.516256	0.468709	0.253417
Streptococcus	10.632299	10.11879	8.969883	8.003081	5.541222	5.302213	3.930163	6.514264	4.448824
Lactococcus	0.023341	0.025371	0.022298	0.015938	0.044317	0.00648	0.011613	0.007213	0
Enterococcus	9.674795	9.410283	7.818154	6.900593	5.423062	1.865671	6.517397	5.855566	4.087648
Tetragenococcus	0.010453	0.010456	0.012458	0.008112	0.01496	0.004642	0.000391	0.006089	0
Vagococcus	0.000891	0.004785	0.005072	0.001655	2.8e-05	0.000368	0.000125	0.000388	0
Melissococcus	0.000713	0.001595	0.000958	0.000225	0.007743	0.000245	0.000125	0.000174	0
Leuconostoc	0.080416	0.074519	0.07781	0.069679	0.084528	0.063359	0.096074	0.023171	0.053988
Weissella	0.021707	0.01911	0.016689	0.013364	0.020054	0.004795	0.00311	0.000981	0.003111
Oenococcus	0.000178	0.001565	0.002735	4.1e-05	0.007311	0.00144	0.000563	1e-05	0
Carnobacterium	0.009295	0.014295	0.007596	0.003923	0.015646	0.00694	0.006924	0.004597	0
Jeotgalibaca	0.000564	0.001181	0.001473	0.005599	0	0.000383	0	1e-05	0
Marinilactibacillus	0.000535	0.000827	0.000678	0.000388	0	0.000184	0.000156	0	0
Aerococcus	0.005405	0.00316	0.007994	0.002922	0.012075	0.000889	5e-04	0.001318	0
Staphylococcus	0.423459	0.416633	0.377225	0.345107	0.295297	0.186831	0.24582	0.284574	0.19883
Macrococcus	0.00098	0.002629	0.003459	0.000756	0.001475	0.000674	1.6e-05	0.000194	0
Salinicoccus	0.000356	8.9e-05	0.000514	0.000347	0.000789	0.000521	6.3e-05	0	0
Jeotgalicoccus	3e-05	3e-05	0	0	0	0.00026	0	0	0
Auricoccucs	3e-05	0	0	0	0	0	0	0	0
