Species	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Pediococcus acidilactici	5.949537	5.643832	5.344336	5.241177	2.573043	6.287127	4.249559	5.993044	6.399225
Lactobacillus rhamnosus	0.403763	0.392124	0.351133	0.342229	0.565984	0.055789	0.107382	0.396492	0.407221
Lactobacillus ruminis	0.398024	0.346145	0.355206	0.35235	0.210976	0.150627	0.214344	0.403426	0.463837
Lactobacillus paracasei	0.047253	0.028911	0.041602	0.066734	0.10657	0.008817	0.020212	0.038287	0.078956
Enterococcus faecium	3.322382	3.179332	2.928003	2.931181	2.498072	0.271245	2.141963	3.061727	0.734481
Streptococcus anginosus	0.212936	0.193762	0.186843	0.175498	0.207825	0.010316	0.019916	0.172969	0.209446
Leuconostoc mesenteroides	0.018393	0.018712	0.026341	0.01432	0.030348	0.029472	0.00816	0.003377	0.019089
Bifidobacterium longum	0.457684	0.408172	0.39382	0.378249	0.412006	0.096651	0.300954	0.369547	0.132825
Bifidobacterium breve	0.446743	0.428446	0.427507	0.407276	0.466775	0.243608	0.27741	0.383625	0.503375
Bifidobacterium bifidum	0.264276	0.237972	0.23853	0.229248	0.383009	0.08168	0.128139	0.251531	0.22756
Citrobacter freundii	0.223547	0.061299	0.106272	0.107358	0.229177	0.005684	0.008596	0.102866	0.000857
Bacteroides fragilis	0.161679	0.185707	0.233318	0.248751	0.267809	0.052007	0.118423	0.227122	3e-05
Bacteroides ovatus	0.131973	0.116894	0.159684	0.144415	0.203569	0.026473	0.011103	0.000231	0
Bacteroides caccae	0.036477	0.036904	0.052345	0.040378	0.000347	0.010786	0.008487	0.037982	0.001359
