Species	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Lactobacillus ruminis	7.34361	6.849302	7.254568	7.539691	3.674949	5.230048	7.024265	9.292584	8.1975
Lactobacillus rhamnosus	0.863144	0.867016	0.775637	0.789776	1.433299	0.147809	0.39723	1.024517	0.342809
Lactobacillus paracasei	0.308822	0.146346	0.202725	0.393652	0.41917	0.046464	0.141723	0.088248	0.443205
Pediococcus acidilactici	3.131735	3.111861	2.944715	2.961373	1.313761	5.763398	3.991624	3.762294	3.685795
Streptococcus anginosus	5.326597	5.230563	4.909524	4.790734	4.730564	0.349795	0.801472	5.255376	5.252568
Enterococcus faecium	1.38009	1.450549	1.297768	1.354457	1.078141	0.325098	1.675057	1.578345	0.364134
Leuconostoc mesenteroides	0.005233	0.008935	0.012871	0.006035	0.017579	0.009604	0.004375	0.002244	0.008257
Bifidobacterium longum	11.277665	11.147529	10.035048	10.070107	8.529555	3.765716	12.187442	11.192832	3.655378
Bifidobacterium breve	1.047407	1.110996	1.088554	1.081599	1.210728	1.014675	1.342165	1.060905	1.687354
Bifidobacterium bifidum	0.042746	0.053737	0.075367	0.054586	0.137312	0.03723	0.0471	0.029679	0.099868
Citrobacter freundii	0.067532	0.02628	0.035193	0.038289	0.126011	0.006119	0.013469	0.036662	0.000278
Bacteroides ovatus	0.331071	0.310015	0.362699	0.357405	0.376626	0.076129	0.049815	0.00086	0
Bacteroides fragilis	0.074083	0.108167	0.141264	0.168503	0.151036	0.044461	0.126647	0.154147	2.8e-05
Bacteroides caccae	0.040622	0.042804	0.062741	0.058006	0.00023	0.026922	0.020111	0.049651	0.002752
