Genus	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Enterococcus	48.334519	47.850874	45.369282	44.445858	44.571978	26.946609	39.584081	48.189063	36.604038
Tetragenococcus	0.00597	0.006915	0.010351	0.003297	0.076794	0.001028	0.001394	0.003574	0
Vagococcus	0.004678	0.010936	0.009245	0.001436	0.000386	0.000886	0.000349	0.002327	0
Melissococcus	0.003213	0.002973	0.00329	0.000752	0.023314	0.001518	0.000279	0.001703	0
Lactobacillus	13.0883	15.139513	15.788473	16.13282	10.327856	19.074971	19.023188	13.169602	14.342417
Pediococcus	3.671845	3.450632	3.494186	3.330662	2.189962	3.841317	3.353982	3.697479	2.323995
Streptococcus	1.181456	1.139786	1.130144	1.102427	1.459618	1.144216	0.765516	0.837385	0.864274
Lactococcus	0.033898	0.046953	0.05876	0.044775	0.183659	0.021886	0.031677	0.012601	0
Leuconostoc	0.231818	0.221026	0.272646	0.310922	0.359499	0.696394	0.58058	0.138233	0.606646
Weissella	0.005734	0.009043	0.011443	0.002982	0.046803	0.011402	0.006353	0.002191	0.011862
Oenococcus	0.001292	0.001721	0.000269	6.8e-05	0.008125	0.004855	0.002848	3.2e-05	0
Aerococcus	0.022478	0.015082	0.023878	0.013735	0.046452	0.000933	0.000747	0.001655	0
Carnobacterium	0.010286	0.015567	0.015371	0.003995	0.047268	0.012366	0.019588	0.004238	0
Jeotgalibaca	0.000882	0.005476	0.00743	0.005144	0	0.00019	7e-05	0.000296	0
Marinilactibacillus	0.000803	0.00108	0.00061	0.000629	0	0.000253	7e-05	0	0
Exiguobacterium	0.887907	0.737176	0.956359	1.188462	0.711926	1.802042	0.347376	0.970661	1.639014
Gemella	3.2e-05	0.000516	0.001134	0.000178	0.002001	0.000696	1e-05	0	0.002451
Staphylococcus	0.57648	0.553183	0.544654	0.539449	0.39587	0.45584	0.369603	0.562567	0.461365
Macrococcus	0.000347	0.002269	0.001021	0.00041	0.002176	0.00038	0.001225	0.000256	0
Auricoccucs	0.00011	0	0	0	0	0	0	0	0
Bacillus	0.054233	0.074864	0.076428	0.077881	0.277783	0.069975	0.027465	0.014232	0.083451
Lysinibacillus	0.001181	0.007917	0.001616	0.000616	0.01962	0.002625	0.001075	0.000104	0
Virgibacillus	0.000835	0.003426	0.003233	0.000766	0.002562	0.001154	0.000199	0.000272	0
Geobacillus	0.000788	0.002112	0.001687	0.000903	0.012276	0.006167	0.000707	0.000184	0
Terribacillus	0.000709	0.001017	0.001177	0.000424	0.002466	0.000111	3e-05	8.8e-05	0
Amphibacillus	0.000488	0.000235	0.000553	0.000397	0.003799	0.000506	6e-05	0.000112	0
Anoxybacillus	0.000457	0.001518	0.001758	0.000479	0.01067	0.000648	0.000538	0.000112	0
Lentibacillus	0.000268	0.000188	0.00051	0	0.001799	0.000158	4e-05	0	0
Oceanobacillus	0.000205	0.002316	0.001333	8.2e-05	0.00265	0.003938	0.000368	0.000144	0
Halobacillus	0.000126	0.000313	0.00078	0.00015	0.001685	0.001154	2e-05	8e-06	0
Aeribacillus	6.3e-05	0.000156	0.000113	0.000123	1.8e-05	4.7e-05	0	8e-06	0
Parageobacillus	4.7e-05	0.000673	2.8e-05	0	0.00451	0.000174	0	0	0
Fictibacillus	1.6e-05	0.001142	0.000822	0.000219	0.005282	0.000965	0.000129	9.6e-05	0
Brochothrix	0.047003	0.042102	0.043985	0.033106	0.000114	0.000411	0.00476	0.037115	0
Listeria	0.010695	0.012313	0.015243	0.008974	0.10933	0.030156	0.021311	0.006077	0.025298
Paenibacillus	0.00419	0.014191	0.016122	0.016156	0.073109	0.031358	0.005846	0.000664	0.000652
Aneurinibacillus	0.000504	0.000563	0.000482	2.7e-05	0.00265	0.000633	9e-05	0	0
Brevibacillus	0.000236	0.000986	0.002127	0.000739	0.004589	0.000917	0.000119	3.2e-05	0
Thermobacillus	6.3e-05	0.000329	0.000142	0	0.000842	0.000206	1e-05	0	0
Planococcus	0.001181	0.006164	0.032131	0.024501	0.030474	0.001012	9e-05	0.000352	0
Sporosarcina	0.000394	0.002754	0.00414	0.000903	0.002343	0.000886	0.000119	9.6e-05	0
Jeotgalibacillus	0.000331	0.00036	0.000978	0.000424	0.00265	0.00038	4e-05	9.6e-05	0
Solibacillus	0.00011	0.006352	0.000553	0.00026	0.005651	4.7e-05	0	0.000128	0
Rummeliibacillus	6.3e-05	0.000297	0.000695	6.8e-05	0.003211	0.000111	0	8e-06	0
Alicyclobacillus	0.00011	0.000219	0.000142	4.1e-05	0.000895	0.000854	1e-05	0	0
Tumebacillus	4.7e-05	0.000188	0.000156	0	0	3.2e-05	0	0	0
Kyrpidia	1.6e-05	0	0.000298	5.5e-05	0.000702	0	0	0	0
Clostridium	7.152496	6.724516	6.962181	7.681766	8.478914	11.939293	7.42082	7.09481	8.157337
Candidatus Arthromitus	0.000898	0.00169	0.003517	0.000465	0.013557	0.000253	6e-05	0.000232	0
Geosporobacter	0.000567	0.001033	0.001106	0.000602	0.004027	0.00155	1e-04	0.000168	0
Alkaliphilus	0.00041	0.000954	0.001375	0.000848	0.006186	0.000395	4e-05	4.8e-05	0
Blautia	0.139954	0.137291	0.332144	0.42262	1.018568	4.071277	3.943375	0.852129	7.990535
Roseburia	0.137244	0.072721	0.202641	0.207829	0.467689	1.87714	1.344911	0.176043	1.437346
Lachnoclostridium	0.058061	0.045075	0.115592	0.118703	0.083279	0.031247	0.022476	0.009115	0.004812
Anaerostipes	0.043018	0.026645	0.068275	0.068743	0.062834	0.005709	0.001275	0.017438	0.000281
Butyrivibrio	0.011404	0.011343	0.026105	0.017511	0.026297	0.009883	0.004332	0.00407	0.016303
Cellulosilyticum	0.001953	0.001862	0.005998	0.001929	0.006827	0.001471	2e-05	0.00064	0
Anaerotignum	0.001118	0.001721	0.002283	0.001765	0.003475	0	0	0	0.000157
Herbinix	0.000709	0.000626	0.003417	0.001094	0.0058	0.000285	0	0	0
Eubacterium	0.253634	0.172525	0.42373	0.451937	0.06952	0.079589	0.12182	0.207873	0.088623
Acetobacterium	7.9e-05	0.001377	0.000255	0.000342	0.002773	0.001154	1e-04	1.6e-05	0
Ruminococcus	0.240938	0.207399	0.240926	0.233547	0.715348	0.821495	0.661183	0.748764	0.640748
Ruminiclostridium	0.002473	0.000422	0.009061	0.007675	0.003317	0.008476	0.004451	0.005925	0
Mageeibacillus	0.002016	0.001831	0.002623	0.003229	0.002194	7.9e-05	0	0	0
Ethanoligenens	0.00011	0.000391	0.000709	0.000246	0.001483	6.3e-05	0	6.4e-05	0
