Species	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Enterococcus faecium	6.215043	6.538786	5.957463	5.929759	4.014088	1.056905	4.915692	8.464334	3.12594
Lactobacillus paracasei	1.718928	1.30641	1.881268	3.360342	3.463728	0.570478	0.998513	0.487248	5.07951
Lactobacillus rhamnosus	0.118915	0.120631	0.11842	0.126306	0.279954	0.108927	0.098704	0.152236	0.293551
Lactobacillus ruminis	0.059585	0.056832	0.061947	0.061591	0.033033	0.042646	0.045337	0.087061	0.086958
Pediococcus acidilactici	1.448444	1.444033	1.382402	1.342887	0.63253	2.623838	1.35025	2.036026	1.97353
Streptococcus anginosus	0.020916	0.020047	0.019462	0.017203	0.028885	0.004865	0.003314	0.021521	0.028185
Leuconostoc mesenteroides	0.079386	0.05545	0.079147	0.074846	0.093862	0.093504	0.072995	0.040343	0.051593
Bifidobacterium breve	0.257046	0.259966	0.263389	0.246148	0.273333	0.233829	0.203544	0.307574	0.346694
Bifidobacterium longum	0.205907	0.191145	0.188667	0.181844	0.200671	0.073872	0.166146	0.227474	0.080695
Bifidobacterium bifidum	0.037353	0.036435	0.041287	0.037579	0.050085	0.015354	0.019155	0.04415	0.026983
Bacteroides fragilis	1.480696	1.611142	1.573299	1.552179	1.777661	0.355902	1.449501	2.224864	0.000474
Bacteroides ovatus	0.808508	0.720343	1.056717	1.006483	1.266436	0.300455	0.093205	0.006322	0.000158
Bacteroides caccae	0.174606	0.184976	0.299369	0.267643	0.001253	0.063624	0.038291	0.271414	0.00813
Citrobacter freundii	0.069203	0.018315	0.031655	0.031708	0.070593	0.003554	0.002986	0.039131	0.000316
