Species	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Lactobacillus rhamnosus	10.272174	9.97097	7.786982	7.363953	10.017667	0.945592	3.269155	7.142813	4.601022
Lactobacillus paracasei	0.23893	0.21313	0.237493	0.934075	0.77578	0.10342	0.387213	0.063754	1.047971
Lactobacillus ruminis	0.086565	0.060909	0.052875	0.050326	0.039909	0.04048	0.056519	0.058369	0.051775
Pediococcus acidilactici	0.728451	0.691817	0.576938	0.543854	0.201875	0.796305	0.637444	0.515449	0.603096
Streptococcus anginosus	2.048775	1.929162	1.59542	1.452214	1.175144	0.086019	0.21212	1.192354	1.38936
Enterococcus faecium	3.4856	3.377995	2.62939	2.526759	1.595599	0.277132	2.924204	2.273589	0.48198
Leuconostoc mesenteroides	0.055679	0.043813	0.044983	0.041088	0.049039	0.044775	0.045781	0.00727	0.023167
Bifidobacterium longum	5.774616	5.415566	4.318673	4.046387	2.775705	1.115301	4.199723	3.365431	1.222516
Bifidobacterium breve	0.087417	0.112934	0.117859	0.113721	0.121747	0.055951	0.130635	0.055266	0.248182
Bifidobacterium bifidum	0.034161	0.03741	0.04269	0.032321	0.053599	0.015034	0.020123	0.016003	0.038282
Bacteroides ovatus	12.360416	10.236058	12.752854	12.233702	9.502716	2.506787	0.957669	0.006521	0.003214
Bacteroides fragilis	0.857431	0.977219	0.90013	0.915646	0.798014	0.243132	0.969009	0.920271	9.5e-05
Bacteroides caccae	0.327002	0.337159	0.437574	0.306516	0.001225	0.150925	0.129973	0.190804	0.021639
Citrobacter freundii	0.088334	0.026247	0.036623	0.036575	0.063523	0.002184	0.005114	0.029559	0.00035
