Genus	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Lactobacillus	13.380613	23.915055	22.869365	22.105689	15.717976	21.852825	25.806182	12.2337	19.378335
Pediococcus	3.381967	2.71391	2.472271	2.323652	1.623383	2.234978	2.509643	3.036481	1.672873
Enterococcus	12.828474	10.575909	9.473835	9.084906	10.575145	2.991193	8.979871	10.974924	7.156553
Tetragenococcus	0.005579	0.004333	0.005897	0.003707	0.030032	0.003974	0.000212	0.003497	0
Melissococcus	0.001794	0.00093	0.000661	0.000376	0.016001	0.000186	0.000127	0.000243	0
Vagococcus	0.000729	0.001793	0.00183	0.000537	0.000422	0.000186	0.00017	0.000432	0
Streptococcus	7.897486	6.268257	6.136837	5.990369	5.678921	5.563488	2.667019	5.595048	5.073984
Lactococcus	0.099668	0.049561	0.092592	0.071531	0.174307	0.015976	0.019521	0.022189	0
Leuconostoc	0.052693	0.037722	0.036648	0.033805	0.108939	0.048646	0.038744	0.012866	0.036019
Weissella	0.008043	0.004582	0.002857	0.002431	0.037061	0.008334	0.001655	0.002149	0.006235
Oenococcus	0.003391	0.00249	0.001309	4e-05	0.013978	0.001462	0.000467	0	0
Aerococcus	0.056221	0.008866	0.012005	0.010221	0.1245	0.001303	0.00087	0.006518	0
Marinilactibacillus	0.016401	0.003736	0.003673	0.001518	0	0.000146	7.4e-05	0	0
Carnobacterium	0.005224	0.008617	0.01254	0.009012	0.04233	0.012401	0.00697	0.002949	0
Jeotgalibaca	0.001183	0.001328	0.002758	0.000779	0	0.000399	1.1e-05	4.5e-05	0
Staphylococcus	3.194359	2.513459	2.365	2.325466	1.322746	1.559773	1.68902	2.8351	2.011527
Macrococcus	0.000651	0.001112	0.001253	0.000269	0.0038	0.001063	0.000106	9.9e-05	0
Salinicoccus	7.9e-05	5e-05	9.9e-05	9.4e-05	0.002278	0.001794	5.3e-05	0	0
Auricoccucs	3.9e-05	0	0	0	0	0	0	0	0
Exiguobacterium	0.783805	0.573209	0.801	1.046183	0.634605	1.334049	0.302783	0.794294	1.247056
