Species	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Lactobacillus rhamnosus	27.11504	25.913297	22.188279	21.764129	30.728026	5.153106	13.821203	30.343801	30.392501
Lactobacillus paracasei	0.241105	0.261307	0.246269	1.382771	1.392514	0.257355	1.000064	0.110004	2.625424
Lactobacillus ruminis	0.064987	0.051373	0.053231	0.05334	0.034143	0.054168	0.069771	0.074561	0.066001
Pediococcus acidilactici	0.171803	0.159026	0.146679	0.145035	0.067418	0.353445	0.239822	0.197255	0.189741
Enterococcus faecium	0.954232	0.931089	0.829893	0.839346	0.568967	0.18046	1.093075	1.05039	0.379722
Streptococcus anginosus	0.691433	0.63023	0.580865	0.553667	0.553202	0.05259	0.111953	0.654261	0.687018
Leuconostoc mesenteroides	0.043068	0.034589	0.036514	0.035362	0.051262	0.068706	0.059962	0.006203	0.03372
Bifidobacterium longum	0.396807	0.322215	0.314115	0.295495	0.347915	0.142144	0.386661	0.310344	0.103374
Bifidobacterium bifidum	0.139938	0.131016	0.13688	0.131054	0.17861	0.067128	0.122221	0.155577	0.096177
Bifidobacterium breve	0.052113	0.070238	0.109328	0.105387	0.086093	0.055483	0.058719	0.062386	0.039505
Bacteroides ovatus	12.73404	11.380702	11.141458	10.762035	9.624001	2.538462	1.508811	0.018498	0.001093
Bacteroides fragilis	1.206916	1.249253	1.099508	1.09919	1.295399	0.267647	1.947111	1.766162	0.00016
Bacteroides caccae	0.080581	0.095274	0.12129	0.094917	0.000297	0.106496	0.147298	0.075447	0.00925
Citrobacter freundii	0.010734	0.004219	0.00541	0.00427	0.014859	0.000826	0.00181	0.005699	5.3e-05
