Genus	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Clostridium	45.570064	43.509988	40.745095	40.853084	43.234816	40.966794	44.896053	42.725586	32.954021
Alkaliphilus	0.002203	0.003202	0.006669	0.00337	0.018122	0.000801	0.000209	0.000436	0
Candidatus Arthromitus	0.001495	0.003531	0.00607	0.002322	0.021124	0.000604	5.5e-05	0.000541	0
Geosporobacter	0.000708	0.001979	0.003967	0.002096	0.006728	0.005339	0.003512	0.000683	0
Ruminococcus	1.636287	1.400753	1.550454	1.519341	3.226881	4.851335	4.861309	4.9808	3.256346
Ruminiclostridium	0.002616	0.00097	0.013953	0.009126	0.005362	0.009119	0.00518	0.029302	0
Mageeibacillus	0.000492	0.000252	0.001111	0.000967	0.001933	1.4e-05	0	0	0
Ethanoligenens	0.000334	0.001087	0.001488	0.001387	0.002732	5.6e-05	0	4.7e-05	0
Roseburia	0.182769	0.084134	0.200666	0.185804	0.988187	0.814349	0.742921	1.042008	0.777879
Blautia	0.129656	0.116674	0.292919	0.369013	0.519548	2.945875	2.410501	0.365104	6.736331
Lachnoclostridium	0.105735	0.068456	0.181754	0.173776	0.070062	0.0222	0.011281	0.008554	0.003678
Anaerostipes	0.074988	0.043872	0.094613	0.090887	0.049644	0.004342	0.007111	0.019279	0.000222
Butyrivibrio	0.012177	0.01659	0.028317	0.022814	0.018717	0.004356	0.004368	0.002712	0.024877
Cellulosilyticum	0.003561	0.003881	0.007592	0.004418	0.011886	0.002332	0.000296	0.001072	0
Herbinix	0.001593	0.001688	0.00448	0.001822	0.006152	0.000576	0	0	0
Anaerotignum	0.000984	0.001416	0.001505	0.001209	0.003792	0	0	0	0.000322
Clostridioides	0.219752	0.158004	0.2882	0.327914	0.346285	0.063454	0	0	0
Filifactor	0.005213	0.000854	0.003027	0.00179	0.005083	0.000365	0	0.000123	0
Acetoanaerobium	0.001554	0.002872	0.005797	0.002225	0.012035	0.000169	9.9e-05	0	0
Peptoclostridium	0.00057	0.003726	0.004463	0.000451	0.007695	0.000295	0.148466	0.201504	0
Eubacterium	0.227876	0.151776	0.342115	0.350068	0.05273	0.347718	0.294418	0.134279	0.345757
Acetobacterium	0.00059	0.001455	0.000923	0.001467	0.002621	0.001152	0.000307	0	0
Intestinimonas	0.01021	0.003105	0.010858	0.011689	0.009702	0.000913	0.000494	0.005178	0
Flavonifractor	0.003757	0.002212	0.01262	0.012818	0.009572	0.003232	0.000812	0.002172	0
Desulfotomaculum	0.002007	0.005666	0.00212	0.000516	0.004554	0.002206	0.000439	0.000446	0
Syntrophobotulus	0.001161	1.9e-05	0.001351	0.000339	0.001849	1.4e-05	1.1e-05	0	0
Desulfosporosinus	0.001141	0.001513	0.00171	0.000984	0.005604	0.000913	0.000143	3.8e-05	0
Desulfitobacterium	0.000413	0.002037	0.004702	0.001757	0.013494	0.000899	0.000483	0.000417	0
Dehalobacter	0.000118	0.000349	0.000769	0.000193	0.004163	0.000464	1.1e-05	5.7e-05	0
Dehalobacterium	3.9e-05	0.001028	0.000445	0.000339	0	0	2.2e-05	0	0
Christensenella	0.001849	0.003939	0.004104	0.003176	0	0.000351	0.00023	0	0
Oscillibacter	0.001318	0.00359	0.00118	0.001096	0.003206	0.000941	0.000582	8.5e-05	0.008711
Mogibacterium	0.000511	0.001669	0.002599	0.000548	0	0.000112	5.5e-05	0.001166	0
Symbiobacterium	0.000629	0.000116	6.8e-05	0.000451	0.001208	1.4e-05	0	0	0
Heliobacterium	2e-05	0.001339	0.001129	3.2e-05	0.001431	0.013067	0.009273	1.9e-05	0
Caldicellulosiruptor	0.000925	0.003027	0.003369	0.001403	0.018772	0.000281	5.5e-05	0.000142	0
Thermoanaerobacterium	0.000885	0.003978	0.004908	0.001838	0.013299	0.000337	0.000143	7.6e-05	0
Thermoanaerobacter	0.000216	0.002406	0.006122	0.001903	0.024729	0.001335	0.000263	0.000161	0
Caldanaerobacter	0.000177	0.000252	0.001094	0.000468	0.002202	0.000211	6.6e-05	0	0
Carboxydothermus	0.000138	0.000116	0.000222	0.000145	0.00132	0.000829	9.9e-05	0	0
Moorella	0.000118	0.000252	0.000342	0.000242	0.002416	8.4e-05	0.000362	0	0
Tepidanaerobacter	3.9e-05	0.000718	0.000393	9.7e-05	0.004238	0.000309	0.000362	2.8e-05	0
Halanaerobium	0.001141	0.002348	0.002839	0.001612	0.008001	0.000323	0.000165	0.000218	0
Halothermothrix	9.8e-05	0.000407	0.000188	8.1e-05	0.001255	2.8e-05	0	0	0
Acetohalobium	0.000138	0.000155	0.000274	0.000322	0.001989	1.4e-05	0	3.8e-05	0
Halobacteroides	0.000138	0.000854	0.002223	0.000532	0.004396	0.000295	0	2.8e-05	0
Natranaerobius	0.000157	0.001222	0.000923	0.000177	0.002137	7e-05	0	0.000104	0
Pediococcus	5.756453	5.350064	5.231233	4.905109	2.755584	4.224692	4.628323	5.510832	3.009942
Lactobacillus	4.863066	6.144296	6.534458	6.764764	5.06053	7.037237	7.131037	4.922736	5.962674
Enterococcus	8.82761	8.499419	8.340195	8.636204	8.372417	7.17606	10.475592	7.93084	9.201744
Tetragenococcus	0.007475	0.008111	0.013971	0.004337	0.039125	0.001799	0.000593	0.004571	0
Vagococcus	0.004544	0.010769	0.011542	0.001467	0.000195	0.000562	9.9e-05	0.002124	0
Melissococcus	0.001416	0.00359	0.003933	0.00108	0.025919	0.000407	0.000132	0.001972	0
Streptococcus	4.746983	4.53278	4.326295	4.116844	4.264063	3.31481	2.743394	3.58098	2.815169
Lactococcus	0.024432	0.02474	0.034234	0.023088	0.084745	0.005494	0.008483	0.006894	0
Leuconostoc	0.061021	0.048024	0.075034	0.060478	0.099893	0.054475	0.034798	0.018245	0.048465
Weissella	0.004623	0.00553	0.009507	0.001403	0.023958	0.006871	0.00372	0.00074	0.005544
Oenococcus	0.000984	0.00099	0.000222	3.2e-05	0.003476	0.002234	0.000351	9e-06	0
Carnobacterium	0.013121	0.019811	0.019323	0.008029	0.039208	0.006688	0.006859	0.00661	0
Jeotgalibaca	0.000984	0.004172	0.004207	0.004466	0	0.00052	0	9.5e-05	0
Marinilactibacillus	0.000177	0.001339	0.002086	0.001499	0	0.000337	2.2e-05	0	0
Aerococcus	0.008518	0.006811	0.012945	0.005159	0.026393	0.00111	0.000988	0.001422	0
Staphylococcus	3.0829	2.927843	2.801012	2.69421	2.192312	1.095129	1.344257	2.915626	1.935371
Macrococcus	0.000748	0.002794	0.002035	0.000758	0.003253	0.000534	0.000143	0.000247	0
Auricoccucs	0.000216	0	0	0	0	0	0	0	0
Salinicoccus	2e-05	0.000194	0.00012	4.8e-05	0.001255	0.000857	2.2e-05	0	0
Bacillus	0.431183	0.439241	0.425511	0.426782	0.445351	0.31061	0.041668	0.375346	0.271371
Virgibacillus	0.002695	0.004657	0.005472	0.002789	0.002816	0.001349	0.000132	0.000171	0
Lysinibacillus	0.000885	0.016008	0.005164	0.002273	0.028326	0.005859	0.00079	0.000133	0
Geobacillus	0.000866	0.003085	0.002924	0.000451	0.012416	0.00208	0.000746	0.000218	0
Terribacillus	0.000689	0.001106	0.00065	8.1e-05	0.001998	0.000155	2.2e-05	9.5e-05	0
Lentibacillus	0.000393	0.000233	0.000906	0.000177	0.001887	0.000351	0	0	0
Anoxybacillus	0.000295	0.001552	0.001248	9.7e-05	0.009479	0.000562	0.000187	6.6e-05	0
Amphibacillus	0.000157	0.000485	0.002172	0.000597	0.004414	0.000281	0.000143	0.000152	0
Oceanobacillus	9.8e-05	0.0039	0.001693	0.000806	0.003364	0.002178	0.000505	0.000256	0
Halobacillus	5.9e-05	0.000893	0.000684	0.000274	0.001794	0.00111	2.2e-05	0	0
Salimicrobium	2e-05	0.000563	0.000239	0.000129	0.001701	2.8e-05	0	0	0
Fictibacillus	2e-05	0.001902	0.000804	9.7e-05	0.004712	0.000618	7.7e-05	5.7e-05	0
Exiguobacterium	0.42597	0.34686	0.463387	0.48273	0.287579	0.479432	0.103813	0.474519	0.467076
Gemella	0.000393	0.001222	0.002702	0.000742	0.003188	0.001532	0.000274	0	0.005422
Listeria	0.011862	0.013563	0.019186	0.013092	0.07561	0.011213	0.009416	0.007264	0.004389
Brochothrix	0.001298	0.003958	0.001419	0.000371	0.000102	0.000225	0.000626	0.000379	0
Paenibacillus	0.008636	0.020393	0.021785	0.024169	0.080405	0.02969	0.011764	0.001261	0.001689
Brevibacillus	0.000708	0.004482	0.003352	0.000855	0.007184	0.001208	0.00011	0.000114	0
Aneurinibacillus	0.000433	0.000718	0.001351	0.000629	0.003178	0.001166	0.000154	0.000123	0
Thermobacillus	0.000157	0.000388	0.000188	0.000113	0.001487	4.2e-05	0	1.9e-05	0
Planococcus	0.001239	0.007044	0.011012	0.006014	0.019507	0.000871	0.00023	0.000228	0
Jeotgalibacillus	0.000452	0.00031	0.000598	0.000677	0.002574	0.000112	3.3e-05	0.000114	0
Sporosarcina	0.000118	0.0039	0.003847	0.001403	0.002509	0.000998	9.9e-05	0.000104	0
Solibacillus	3.9e-05	0.005123	0.000598	0.000129	0.005687	0.000126	0	8.5e-05	0
Alicyclobacillus	0.000393	0.000194	0.000445	0.000113	0.00158	0.000703	3.3e-05	9e-06	0
Tumebacillus	0.000138	0.000815	0.003198	0.000129	9e-06	0	0	0	0
