Genus	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Lactobacillus	36.05348	34.703377	31.315824	29.740069	39.684616	26.862413	30.229454	37.393231	24.212204
Pediococcus	0.166702	0.156151	0.159064	0.138249	0.135673	0.128543	0.179606	0.169209	0.093999
Enterococcus	5.685989	5.36401	5.053651	4.963419	4.63531	2.859526	6.908571	5.264852	4.714647
Tetragenococcus	0.003367	0.00376	0.005984	0.002028	0.012683	0.001578	0.000431	0.002381	0
Vagococcus	0.001065	0.002071	0.003151	0.000844	4.4e-05	0.00072	6.5e-05	0.000949	0
Melissococcus	0.000326	0.00106	0.001229	0.000286	0.008742	0.000177	0.000118	0.000734	0
Streptococcus	4.080022	3.824717	3.561363	3.378989	3.15719	2.797615	2.129759	2.969761	2.682684
Lactococcus	0.021473	0.018372	0.024458	0.017501	0.04858	0.004949	0.013778	0.00735	0
Leuconostoc	0.04798	0.043088	0.044016	0.04069	0.072924	0.040096	0.060687	0.010349	0.038507
Weissella	0.001701	0.002137	0.002212	0.00113	0.008257	0.002171	0.002468	0.000492	0.002251
Oenococcus	0.00012	0.001242	0.000116	4.1e-05	0.010757	0.005416	0.000771	1.8e-05	0
Aerococcus	0.006923	0.005616	0.008702	0.003633	0.011853	0.001376	0.001006	0.001361	0
Carnobacterium	0.003247	0.006163	0.007647	0.002327	0.015529	0.008332	0.006099	0.002659	0
Jeotgalibaca	0.000378	0.001574	0.001287	0.000857	0	0.000896	0.000274	7.2e-05	0
Marinilactibacillus	8.6e-05	0.000878	0.000867	0.000721	0	0.000114	0.000118	0	0
Staphylococcus	0.446319	0.411747	0.435648	0.435895	0.363901	0.280619	0.368668	0.48069	0.382727
Macrococcus	0.001237	0.00106	0.002544	0.00034	0.00186	0.000568	0.000274	5.4e-05	0
Jeotgalicoccus	0.00012	1.7e-05	0	0	0	0.000202	1.3e-05	0	0
Salinicoccus	1.7e-05	6.6e-05	0.000217	1.4e-05	0.00064	0.000177	1.3e-05	0	0
Exiguobacterium	0.302826	0.247313	0.306087	0.395111	0.195046	0.503733	0.161036	0.330003	0.553929
Gemella	0.00067	0.001325	0.001503	0.000327	0.002015	0.001326	0.000496	0	0.005644
Bacillus	0.136708	0.150071	0.14815	0.14783	0.241221	0.130513	0.044742	0.067725	0.105275
Virgibacillus	0.000807	0.002965	0.002949	0.001048	0.001441	0.001464	0.000287	6.3e-05	0
Lysinibacillus	0.000584	0.015274	0.004322	0.001715	0.014808	0.003901	0.000614	8.1e-05	0
Geobacillus	0.000447	0.001607	0.000954	0.000299	0.00947	0.002285	0.000222	7.2e-05	0
Lentibacillus	0.000275	0.000133	0.000275	0	0.000985	0.000404	1.3e-05	0	0
