Species	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Enterococcus faecium	0.832508	0.857707	0.824898	0.880019	1.260671	0.666931	1.242406	1.176218	0.128604
Lactobacillus paracasei	0.233883	0.265852	0.2644	2.31687	2.683226	0.22291	0.593069	0.199189	2.142661
Lactobacillus ruminis	2.512441	2.451525	2.309513	2.373551	1.185986	1.296144	1.706665	4.657653	2.605297
Lactobacillus rhamnosus	0.461345	0.47051	0.404348	0.454406	0.787202	0.161878	0.182932	0.831128	0.211808
Pediococcus acidilactici	4.687607	4.734478	4.236793	4.30276	1.964641	6.883037	4.116158	8.558078	4.678825
Streptococcus anginosus	0.208704	0.203487	0.185135	0.178946	0.197007	0.012956	0.022479	0.30662	0.170172
Leuconostoc mesenteroides	1.131006	0.985406	1.029351	1.029676	1.423225	1.349709	0.97968	0.273696	0.595601
Bifidobacterium longum	0.21656	0.207313	0.188033	0.186909	0.184029	0.05572	0.151397	0.330365	0.049463
Bifidobacterium breve	0.136175	0.140808	0.138592	0.136722	0.139781	0.101878	0.103734	0.221573	0.126516
Bifidobacterium bifidum	0.098213	0.092241	0.093288	0.09137	0.133978	0.033527	0.052047	0.160414	0.065553
Citrobacter freundii	0.578024	0.168217	0.27911	0.293419	0.576076	0.019921	0.023236	0.497882	0.001607
Bacteroides fragilis	0.440414	0.487717	0.450841	0.484703	0.494754	0.086295	0.41535	0.848001	2.3e-05
Bacteroides ovatus	0.370193	0.335535	0.421488	0.418777	0.426856	0.116635	0.040537	0.001217	6.9e-05
Bacteroides caccae	0.104653	0.108695	0.103927	0.101161	0.000455	0.024496	0.02412	0.186055	0.004338
