Genus	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Lactobacillus	18.972399	21.049768	21.273043	21.343595	13.680692	24.033421	24.040138	22.435036	17.034089
Pediococcus	0.820461	0.794407	0.805095	0.77108	0.549101	0.870579	0.798585	0.970088	0.585484
Enterococcus	17.0617	17.013284	16.284567	16.261825	16.229218	7.823676	16.969526	18.690719	14.341895
Tetragenococcus	0.011497	0.011573	0.016535	0.010799	0.034527	0.007656	0.000578	0.01064	0
Vagococcus	0.002721	0.003925	0.004286	0.000923	0.000152	0.000889	0.000233	0.001633	0
Melissococcus	0.001055	0.00204	0.002051	0.000331	0.012749	0.000265	0.000284	0.001318	0
Streptococcus	1.497915	1.460472	1.561179	1.557545	1.312521	1.536834	0.544567	0.931734	1.228869
Lactococcus	0.065388	0.04657	0.081853	0.06402	0.132112	0.015577	0.018813	0.024809	0
Leuconostoc	0.029644	0.028067	0.036874	0.038263	0.058804	0.082001	0.074442	0.019845	0.084726
Weissella	0.006788	0.004252	0.0057	0.004118	0.017928	0.007562	0.011363	0.001029	0.005496
Oenococcus	0.000978	0.002274	0.000255	2.8e-05	0.01311	0.00683	0.00073	2.7e-05	0
Aerococcus	0.014753	0.007912	0.013352	0.008939	0.024501	0.000842	0.000436	0.001354	0
Carnobacterium	0.007354	0.012569	0.014342	0.00719	0.025678	0.011694	0.009194	0.005767	0
Marinilactibacillus	0.001345	0.002196	0.002659	0.00241	7e-06	0.000281	7.1e-05	0	0
Jeotgalibaca	0.000917	0.002648	0.003465	0.001915	0	0.00014	4.1e-05	8.1e-05	0
Staphylococcus	2.714311	2.713262	2.586968	2.536443	2.408432	0.895621	1.096219	3.152683	2.183101
Macrococcus	0.000122	0.001339	0.000863	0.000275	0.001257	0.000327	0.00076	0.000153	0
Salinicoccus	3.1e-05	0.000358	0.000226	5.5e-05	0.001141	0.000109	4.1e-05	0	0
Auricoccucs	1.5e-05	0	0	0	0	0	0	0	0
Exiguobacterium	0.118071	0.10423	0.139307	0.185091	0.092854	0.28366	0.054635	0.150395	0.249791
Gemella	7.6e-05	0.000623	0.000622	0.000248	0.000968	0.001091	0.000132	0	0.002522
Bacillus	0.058554	0.075727	0.078558	0.091623	0.189522	0.066222	0.030926	0.024159	0.062357
Virgibacillus	0.001422	0.003209	0.003281	0.001391	0.00125	0.001357	0.000324	0.000135	0
Amphibacillus	0.001085	0.000514	0.001782	0.001543	0.002868	0.000296	5.1e-05	0.000641	0
Lysinibacillus	0.000474	0.009221	0.00181	0.000551	0.013096	0.00106	0.000639	5.4e-05	0
Geobacillus	0.000336	0.001386	0.000792	0.00022	0.008162	0.002183	0.000466	0.000108	0
Terribacillus	0.000336	0.000919	0.001287	0.000606	0.001697	1.6e-05	0	7.2e-05	0
Anoxybacillus	0.00026	0.001168	0.001075	0.000179	0.005916	0.000655	0.000385	5.4e-05	0
Lentibacillus	0.000183	0.000218	0.000495	1.4e-05	0.00143	0.000343	3e-05	0	0
Halobacillus	0.000138	0.000109	0.001315	0.000399	0.00125	0.000811	0	4.5e-05	0
Oceanobacillus	9.2e-05	0.001402	0.001188	6.9e-05	0.00125	0.001403	0.000335	0.000144	0
Salimicrobium	3.1e-05	0.000358	0.000438	1.4e-05	0.000672	3.1e-05	1e-05	0	0
Aeribacillus	3.1e-05	7.8e-05	8.5e-05	0.000152	1.4e-05	6.2e-05	0	2.7e-05	0
Fictibacillus	1.5e-05	0.000935	0.000736	1.4e-05	0.003315	0.001091	0.000243	4.5e-05	0
Listeria	0.007155	0.008847	0.013678	0.009187	0.063174	0.015078	0.014475	0.00694	0.010144
Brochothrix	0.003608	0.009221	0.00447	0.002452	7.2e-05	0.00014	0.001368	0.002211	0
Paenibacillus	0.004877	0.013192	0.017949	0.020275	0.05936	0.025463	0.01042	0.000731	0.002002
Brevibacillus	0.000505	0.00176	0.002065	0.000826	0.003229	0.000904	3e-05	3.6e-05	0
Thermobacillus	0.000107	0.000171	0.00024	2.8e-05	0.000701	0.000281	0	0	0
Aneurinibacillus	7.6e-05	0.000748	0.000806	5.5e-05	0.002485	0.000343	0.000152	0	0
Planococcus	0.001972	0.00419	0.008586	0.004049	0.012265	0.000327	0.000193	0.00019	0
Sporosarcina	0.000535	0.002601	0.002673	0.000771	0.001488	0.00039	6.1e-05	1.8e-05	0
Jeotgalibacillus	0.000214	0.000249	0.001132	0.000634	0.002239	0.001731	3e-05	1.8e-05	0
